"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일
"운수·창고 및 통신업",항공운수업,81,1,14,30,27,7,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",운수관련서비스업,305,10,55,110,94,27,8,1,430,12,98,130,138,37,13,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고 및 운수관련 서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1956,36,424,633,640,175,35,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고업,176,2,46,54,57,13,0,3,228,3,47,77,79,19,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",통신업,142,3,39,50,39,7,1,1,236,10,56,82,77,9,1,0,223,6,46,76,60,27,5,0,242,6,51,72,76,24,9,2,295,4,72,72,102,31,9,3
"임업",소계,1124,16,212,404,377,84,22,6,1041,13,251,359,337,64,10,2,1017,17,255,367,300,62,9,4,1030,17,282,377,282,54,12,2,946,13,257,313,293,54,8,8
"임업",임업,1124,16,212,404,377,84,22,6,1041,13,251,359,337,64,10,2,1017,17,255,367,300,62,9,4,1030,17,282,377,282,54,12,2,946,13,257,313,293,54,8,8
"어업",소계,59,3,9,19,19,4,4,0,66,1,17,22,17,5,1,1,60,3,14,14,23,4,1,1,48,1,8,21,18,0,0,0,74,3,21,27,18,4,0,1
"어업",어업 양식어업 및 어업관련서비스업,59,3,9,19,19,4,4,0,66,1,17,22,17,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"어업",어업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,3,14,14,23,4,1,1,48,1,8,21,18,0,0,0,74,3,21,27,18,4,0,1
"농업",소계,555,6,118,214,177,26,8,4,648,14,156,224,182,47,17,5,642,9,146,215,203,50,15,2,639,10,172,229,177,33,12,2,668,11,152,243,198,46,13,3
"농업",농업,555,6,118,214,177,26,8,4,648,14,156,224,182,47,17,5,642,9,146,215,203,50,15,2,639,10,172,229,177,33,12,2,668,11,152,243,198,46,13,3
"금융 및 보험업",소계,312,20,63,99,91,20,7,5,358,16,99,94,102,28,8,7,400,12,67,127,128,45,9,10,341,16,89,88,83,31,13,18,408,18,87,110,107,34,32,17
"금융 및 보험업",금융 및 보험업,312,20,63,99,91,20,7,5,358,16,99,94,102,28,8,7,400,12,67,127,128,45,9,10,341,16,89,88,83,31,13,18,408,18,87,110,107,34,32,17
"기타의 사업",소계,30595,318,5079,9612,10768,3421,1081,230,37505,416,6585,11912,12542,4320,1356,281,41811,406,7410,12543,14651,4902,1500,304,40573,399,7549,11973,13904,4896,1466,292,45408,461,7915,12841,15989,5825,1928,373
"기타의 사업",건물 등의 종합관리사업,3617,54,839,1399,1022,210,53,21,4118,86,1033,1589,1059,248,71,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",건물종합관리 위생 및 유사서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5138,112,1309,1805,1461,316,84,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",시설관리및사업지원서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8267,131,2007,2883,2407,594,176,40,9213,179,2047,3126,2798,758,225,56
"기타의 사업",위생 및 유사서비스업,1049,29,283,353,294,55,14,10,1176,34,337,388,313,76,17,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",해외파견자,46,2,18,10,11,3,2,0,27,2,7,7,5,2,0,3,33,1,15,7,8,0,2,0,21,4,6,5,3,2,0,1,30,3,5,7,9,4,1,1
"기타의 사업",전문기술서비스업,742,26,156,218,216,79,35,8,975,31,187,283,322,98,37,9,1058,28,190,328,351,105,38,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",전문·보건·교육·여가관련서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7014,71,1361,2029,2448,792,234,63,8584,89,1599,2480,3013,960,370,63
"기타의 사업",보건 및 사회복지사업,2929,13,462,931,1116,281,107,16,3670,23,638,1232,1301,347,107,21,4228,12,801,1323,1543,407,115,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",교육서비스업,496,5,70,160,158,75,23,5,605,3,95,184,210,88,23,1,691,5,103,181,263,93,39,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",도·소매 및 소비자용품수리업,5680,45,961,1895,2080,507,130,35,6939,78,1227,2311,2422,644,198,41,7722,56,1340,2420,2855,804,176,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",도소매·음식·숙박업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18592,117,2806,5047,6882,2787,804,123,20569,122,2835,5266,7898,3231,1027,161
"기타의 사업",부동산업 및 임대업,176,7,42,53,61,11,2,0,214,2,47,81,56,20,4,3,247,4,44,91,69,27,8,3,230,3,53,78,69,19,5,0,242,10,44,80,79,26,3,0
"기타의 사업",오락·문화 및 운동관련사업,839,10,155,290,275,71,28,6,1003,8,184,294,368,88,35,22,1161,8,222,331,446,110,29,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",국가 및 지방자치단체의 사업,2898,16,403,841,1075,383,147,30,3594,20,600,1080,1180,488,181,33,4358,19,767,1261,1535,510,203,56,4700,22,846,1362,1618,589,203,50,4981,16,905,1335,1687,712,262,58
"기타의 사업",사업서비스업,-,-,-,-,-,-,-,-,2665,45,500,912,826,275,75,20,3323,54,618,1147,1086,321,83,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",주한미군,35,0,5,7,7,10,6,0,36,0,8,7,13,8,0,0,57,1,9,17,16,7,6,1,38,1,9,8,9,9,2,0,35,2,6,7,11,7,2,0
"기타의 사업",기타의 각종사업,12088,111,1685,3455,4453,1736,534,99,12483,84,1722,3544,4467,1938,608,104,13795,106,1992,3632,5018,2202,717,114,1711,50,461,561,468,104,42,15,1754,40,474,540,494,127,38,34
