"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능
"제조업",수송용기계기구 제조업,2199,518,212,243,126,101,83,201,711,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수송용기계기구 제조업·자동차 및 모터사이클 수리업,-,-,-,-,-,-,-,-,-,-,3033,645,270,328,211,157,120,321,980,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",계량기·광학기계·기타정밀기구 제조업,275,73,25,45,31,30,12,28,31,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품제조업,148,56,20,19,8,5,8,11,21,0,153,51,18,19,15,9,11,13,17,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품 및 기타제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1151,439,128,161,107,65,41,108,102,0,1141,398,139,174,86,77,46,117,104,0,1262,452,138,153,112,82,49,151,125,0
"제조업",섬유 또는 섬유제품 제조업(을),677,240,71,101,53,37,32,77,65,1,717,218,70,95,72,48,29,100,85,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",자동차 및 모터사이클 수리업,504,142,62,82,48,37,21,50,62,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",코크스 연탄 및 석유정제품 제조업,48,9,3,3,4,0,2,4,22,1,76,13,6,7,3,7,8,4,28,0,64,8,4,4,2,3,1,10,32,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기타제조업,1019,443,127,130,71,49,45,89,62,3,1006,428,104,152,78,42,33,96,73,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전기·가스·증기 및 수도사업",소계,87,18,6,19,2,4,5,9,24,0,108,16,8,19,15,10,3,14,23,0,111,21,15,13,12,10,6,17,17,0,105,18,12,12,6,3,4,19,31,0,130,17,5,17,12,10,7,15,47,0
